battle,country,result,source_url
Battle of Gemauerthof,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Gemauerthof
German-Swedish skirmishes in Lapland,Sweden,other,https://en.wikipedia.org/wiki/German-Swedish_skirmishes_in_Lapland
Battle of Gestilren,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Gestilren
Battle of Gniew,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Gniew
Battle of Gołąb,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Gołąb
Battle of Górzno,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Górzno
Battle of Grodno (1708),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Grodno_(1708)
Battle of Grodno (1706),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Grodno_(1706)
Gustavus Adolphus' reconquest of Öland,Sweden,win,https://en.wikipedia.org/wiki/Gustavus_Adolphus'_reconquest_of_Öland
Battle of Güstow,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Güstow
Battle of Hällaskogen,Sweden,unknown,https://en.wikipedia.org/wiki/Battle_of_Hällaskogen
Battle of Haraker,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Haraker
Battle of Helsingborg,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Helsingborg
Battle of Helsinki (1713),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Helsinki_(1713)
Capitulation at Helsingfors,Sweden,win,https://en.wikipedia.org/wiki/Capitulation_at_Helsingfors
Helsinki village landing,Sweden,win,https://en.wikipedia.org/wiki/Helsinki_village_landing
Henrik Horn's Ingrian campaign,Sweden,win,https://en.wikipedia.org/wiki/Henrik_Horn's_Ingrian_campaign
Battle of Holowczyn,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Holowczyn
Battle of Hörnefors,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Hörnefors
Battle of Hova,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Hova
Landing at Humlebæk,Sweden,win,https://en.wikipedia.org/wiki/Landing_at_Humlebæk
Battle of Hummelshof,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Hummelshof
